"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"1034","FÁBRICAS/INDUSTRIA","MADRID","Bachillerato",2018-10-29,"INDIFERENTE","MADRID",900,750,"TEXTIL/CONFECCIÓN/CALZADO"
"1035","INGENIERÍA/CALIDAD/CIENCIAS","LA RIOJA","Licenciado o Ingeniero Superior",2018-10-29,"COMPLETA","RIOJA (LA)",20000,16000,"OTRAS ACTIVIDADES TÉCNICAS"
"1037","FÁBRICAS/INDUSTRIA","GALICIA","FP II, Ciclo de Grado Superior",2018-10-29,"COMPLETA","CORUÑA (A)",20000,14000,"TECNICOS METALURGICOS"
"1038","INFORMÁTICA/TELECOMUNICACIONES","MADRID","Diplomado o Ingeniero Técnico",2018-07-11,"COMPLETA","MADRID",30000,18000,"TELECOMUNICACIONES"
"1039","METAL/MECÁNICA","MADRID","Unknown",2018-08-29,"COMPLETA","MADRID",1200,1100,"CERRAJEROS/FORJA/HERREROS"
"1040","FÁBRICAS/INDUSTRIA","ANDALUCÍA","Unknown",2018-10-29,"COMPLETA","MÁLAGA",850,800,"TEXTIL/CONFECCIÓN/CALZADO"
"1041","FÁBRICAS/INDUSTRIA","MADRID","ESO, EGB, Graduado Escolar",2018-10-29,"COMPLETA","MADRID",1300,1000,"ARTESANÍA/OFICIOS"
"1042","CONDUCTORES/TRANSPORTE","MADRID","Unknown",2018-10-29,"COMPLETA","MADRID",1600,1000,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"1043","CONDUCTORES/TRANSPORTE","CATALUÑA","Sin estudios",2018-10-29,"COMPLETA","BARCELONA",1200,1200,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"1045","INGENIERÍA/CALIDAD/CIENCIAS","CASTILLA LA MANCHA","Postgrado Universitario",2018-10-29,"COMPLETA","TOLEDO",21000,20590,"PREVENCIÓN RIESGOS LABORALES"
"1046","INFORMÁTICA/TELECOMUNICACIONES","GALICIA","FP II, Ciclo de Grado Superior",2018-10-29,"COMPLETA","PONTEVEDRA",1200,800,"SISTEMAS/SEGURIDAD/REDES"
"1048","HOSTELERÍA/TURISMO","MADRID","Bachillerato",2018-10-25,"INDIFERENTE","MADRID",900,600,"CAMAREROS"
"1049","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-09-14,"COMPLETA","MADRID",900,800,"ADMINISTRATIVOS"
"1050","EDUCACIÓN/SERVICIOS SOCIALES","ANDALUCÍA","Otras Formaciones",2018-10-29,"COMPLETA","MÁLAGA",2000,1000,"OTRAS ACTIVIDADES"
"1051","EDUCACIÓN/SERVICIOS SOCIALES","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-10-29,"COMPLETA","ALBACETE",2000,1500,"FORMACIÓN PROFESIONAL"
"1052","CONSTRUCCIÓN","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-29,"COMPLETA","SANTA CRUZ DE TENERIFE",1200,1200,"FONTANERÍA"
"1053","METAL/MECÁNICA","MADRID","Unknown",2018-10-29,"COMPLETA","MADRID",18000,15000,"MECÁNICA/MANTENIMIENTO"
"1054","FÁBRICAS/INDUSTRIA","ISLAS CANARIAS","Unknown",2018-10-29,"COMPLETA","PALMAS (LAS)",800,800,"MONTADORES Y ENSAMBLADORES"
"1055","EDUCACIÓN/SERVICIOS SOCIALES","ILLES BALEARS","Otras Formaciones",2018-10-29,"PARCIAL","BALEARS (ILLES)",16000,1000,"FORMACIÓN PROFESIONAL"
"1056","CONSTRUCCIÓN","ISLAS CANARIAS","ESO, EGB, Graduado Escolar",2018-10-29,"COMPLETA","PALMAS (LAS)",1050,1000,"FONTANERÍA"
"1057","HOSTELERÍA/TURISMO","MADRID","Estudios primarios",2018-10-29,"PARCIAL","MADRID",500,400,"CAMAREROS"
